Account,Text,Date,Compound,Positive,Neutral,Negative
@BBC,"‘I’m determined to prove the terrorists wrong.’

Martin was paralysed in the Manchester Arena attack and is now tra… https://t.co/qTRSdGxBeJ",04/24/18,-0.7,0.09,0.639,0.271
@BBC,"RT @BBCTwo: It's #ShakespearesBirthday so here's Hamlet's famous ""To be or not to be"" speech, performed by Andrew Scott! 📜🎭🎂 https://t.co/b…",04/23/18,0.0,0.0,1.0,0.0
@BBC,👶💖 The Duke and Duchess of Cambridge introduce their new son to the world. https://t.co/nmrD1axv6Y,04/23/18,0.0,0.0,1.0,0.0
@BBC,✈️ Do you know how to wear an oxygen mask?  https://t.co/pf8lvubtc9,04/23/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…,04/23/18,0.0,0.0,1.0,0.0
@BBC,❤️ The Duke of Cambridge has arrived at hospital with Prince George &amp; Princess Charlotte following birth of their b… https://t.co/w0QF6vPprS,04/23/18,0.0,0.0,1.0,0.0
@BBC,"😂 That time the police busted Mary Berry smuggling ingredients into America… 
#TheGNShow https://t.co/slxL3klU3h",04/23/18,-0.477,0.0,0.795,0.205
@BBC,"How much do you know about England, the English and the frequently odd things they do and eat? Celebrate… https://t.co/zCiIrdYYkW",04/23/18,-0.318,0.0,0.892,0.108
@BBC,"How does plastic actually enter our oceans? 
#OurBluePlanet  https://t.co/LdOt9inVFS",04/23/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCNews: #royalbaby: Formal notice of birth displayed on forecourt of Buckingham Palace https://t.co/jU2MrpGseg https://t.co/wWgoKAeFaJ,04/23/18,0.0,0.0,1.0,0.0
@BBC,🐶❤️ Australian police have praised a dog for remaining with a three-year-old girl as she spent a night lost in bush… https://t.co/oGu1MgHiI0,04/23/18,0.226,0.142,0.756,0.102
@BBC,"Beth is a trainee nurse about to start working in A&amp;E. 🏥🚑

Can former nurse Una calm her nerves via a hidden earpie… https://t.co/Z1HXesGbkQ",04/23/18,0.226,0.097,0.844,0.059
@BBC,"👶❤️ It's a boy! 

The Duchess of Cambridge gives birth to her third child, who is fifth in line to throne. 
👉… https://t.co/txzbor7jKG",04/23/18,0.0,0.0,1.0,0.0
@BBC,"Arthur? Albert? Mary? Alice?

As the Duchess of Cambridge goes into labour with her third child, speculation contin… https://t.co/3a65q968kv",04/23/18,0.0,0.0,1.0,0.0
@BBC,"From Cold War spy station to Europe’s largest graffiti gallery.
👉https://t.co/gesQ2io25H https://t.co/7FcEBRJepr",04/23/18,-0.599,0.0,0.738,0.262
@BBC,"RT @BBC_Culture: Beyond their literary value, do stories have the power to change the world? @clemencybh #100Stories https://t.co/P5tqktMh0…",04/23/18,0.34,0.124,0.876,0.0
@BBC,"RT @BBCOne: Can @nilerogers &amp; Chic condense a lifetime of music into one minute?
#GigInAMinute on #SoundsLikeFridayNight. https://t.co/IUYj…",04/23/18,0.273,0.116,0.884,0.0
@BBC,RT @bbcthree: This woman will write you a letter when you're going through hard times. https://t.co/A2ZkmvZD9w,04/23/18,-0.103,0.0,0.909,0.091
@BBC,"RT @BBCBreakfast: We're celebrating 20 years of @carolkirkwood on BBC Breakfast! 🎂🎊
Here are just some of her best bits! 🙈😂 #20yearsofCarol…",04/23/18,0.859,0.298,0.702,0.0
@BBC,🐮🥛 Is this the future of dairy farming?  https://t.co/goewsyXmgF,04/23/18,0.0,0.0,1.0,0.0
@BBC,"👶❤️ Royal baby on the way!

The Duchess of Cambridge has been admitted to hospital in the early stages of labour wi… https://t.co/FoLkBUkiwB",04/23/18,0.176,0.071,0.929,0.0
@BBC,RT @BBCBreaking: Duchess of Cambridge has been admitted to hospital in the early stages of labour with her third child https://t.co/ST2R53a…,04/23/18,0.103,0.065,0.935,0.0
@BBC,"Contrary to popular belief, we now hear more diverse voices than ever before and most people do not live in Faceboo… https://t.co/RLgNf8khvQ",04/23/18,0.421,0.118,0.882,0.0
@BBC,🚀 Three things you didn’t know about going to Mars. https://t.co/pOPJz82fXB,04/23/18,0.0,0.0,1.0,0.0
@BBC,"Stand up comedy from halloumi enthusiast and absolute lad @joelycett. 😂

That's The Way, A-Ha A-Ha, Joe Lycett | 10… https://t.co/NHdfQKtLmC",04/22/18,0.612,0.227,0.773,0.0
@BBC,The lives of two half-sisters and their drawing master get caught up in a deadly conspiracy revolving around a ment… https://t.co/Eczbbv1Xiq,04/22/18,-0.527,0.0,0.841,0.159
@BBC,😍🐮 These cows have been let out for the first time in five months. https://t.co/RYBwAENw0L,04/22/18,0.0,0.0,1.0,0.0
@BBC,❤️🦍 Bolingo is learning to enhance his mental and physical wellbeing. https://t.co/PCd1vtd9mD,04/22/18,0.0,0.0,1.0,0.0
@BBC,It's a boy! 😍The gender of the UK's first polar bear cub to be born in 25 years has been confirmed... now we just n… https://t.co/ylwMjGfhBs,04/22/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCNewsbeat: During the #LondonMarathon this man proposed to his girlfriend 💍❤️ https://t.co/k4EHQiRGo7,04/22/18,0.0,0.0,1.0,0.0
@BBC,"No business cards, a focus on ‘life-life balance’ and an average employee age of 25-years-old…

Is this the younges… https://t.co/fwXh4t9W84",04/22/18,-0.296,0.0,0.891,0.109
@BBC,"RT @BBC100women: In 1967, @KVSwitzer became the first woman to officially run the Boston Marathon.

Kathrine has gone on to run another 40…",04/22/18,0.0,0.0,1.0,0.0
@BBC,What a legend. 🙌 https://t.co/0weiFvPGwD,04/22/18,0.0,0.0,1.0,0.0
@BBC,This is how art is helping Beirut recover from the ravages of war. 🎨❤️️ https://t.co/BDswK8zvQE https://t.co/YywZCbNWtU,04/22/18,-0.402,0.109,0.697,0.194
@BBC,"RT @BBCOne: Third place AND the British record. 

Go Mo! 🙌🙌 #LondonMarathon https://t.co/fJs3g0LSwk",04/22/18,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: Running: not for everyone. 
#LondonMarathon @bbcsport https://t.co/ZgJ2hPF3K2",04/22/18,0.0,0.0,1.0,0.0
@BBC,Imagine a world where scientists are the people kids dreamed of becoming. 🔬💡🚀 @KarenLMasters takes us to her “scien… https://t.co/JYagPrcqhB,04/22/18,0.0,0.0,1.0,0.0
@BBC,"RT @bbcgetinspired: Running 26.2 miles = dedication ✅💯

But running it dressed as a minion or a giant rhino? Amazing 😂

#LondonMarathon #Ge…",04/22/18,0.586,0.174,0.826,0.0
@BBC,"RT @BBCSport: What a moment for her! After making her marathon debut last year at the age of 33, Kenya's Vivian Cheruiyot has won her first…",04/22/18,0.611,0.143,0.857,0.0
@BBC,"Before her family went into hiding, Anne Frank exchanged letters with a pen pal from America. 💌👉… https://t.co/WPpcqc0o7S",04/22/18,-0.296,0.0,0.879,0.121
@BBC,"RT @bbcgetinspired: 26.2 miles.
40,000 runners.
40,000 reasons to run.

It's the @LondonMarathon!

Live 👉 https://t.co/3dAqQTmdJ1

📺 @BBCOn…",04/22/18,0.0,0.0,1.0,0.0
@BBC,"If you thought being transgender was a recent development, the Ancient Greeks have news for you... https://t.co/qxl9lcqC0O",04/22/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCSport: Paula Radcliffe thinks her record is under threat today from Mary Keitany and Tirunesh Dibaba. We'll soon see. They're off an…,04/22/18,-0.527,0.0,0.866,0.134
@BBC,"RT @BBCEngland: 🏃‍♀️☀️🏃‍♂️ Running the #LondonMarathon today? 🏃‍♀️☀️🏃‍♂️

Here's what you need to know about running a marathon in the heat…",04/22/18,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: Good luck to everyone running the #LondonMarathon today 🙌 

Tune in to live coverage 📺 @bbcone.
Follow live online with @bbcspo…",04/22/18,0.71,0.237,0.763,0.0
@BBC,How do you put on a world class show when your theatre is surrounded by water? 🎭🎶🎟 https://t.co/SNmeBae451,04/22/18,0.0,0.0,1.0,0.0
@BBC,"🏃🏃‍♀️👏 @GabbyLogan is live at the 38th London Marathon, where world-class runners and thousands of fundraisers are… https://t.co/fc22DepgVZ",04/22/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCNews: Austin Powers actor Verne Troyer dies aged 49 https://t.co/ongU21oE9A,04/21/18,0.0,0.0,1.0,0.0
@BBC,"RT @BBCOne: Here's a special message to The Queen to wish Her Majesty a Happy Birthday. With @CraigDavid, @ShawnMendes, @TheRealLukevans an…",04/21/18,0.844,0.363,0.637,0.0
@BBC,Shaggy helps the Queen celebrate 92nd birthday! 👑 https://t.co/5C4NR4h5f9 https://t.co/jBHBF8ECOh,04/21/18,0.764,0.485,0.515,0.0
@BBC,Fans gather in Stockholm to remember superstar DJ #Avicci. https://t.co/S7pIZbIwpd https://t.co/YD5Wuzaue1,04/21/18,0.0,0.0,1.0,0.0
@BBC,"Tonight, @ShawnMendes, @kylieminogue, @RealSirTomJones and more will perform at a celebration concert for Her Majes… https://t.co/NweqKaZsdW",04/21/18,0.0,0.0,1.0,0.0
@BBC,🎨 Meet the 91-year-old rebel artist who was told he was unteachable. https://t.co/Vyquf7IG49,04/21/18,-0.153,0.0,0.873,0.127
@BBC,❤️🦍 A mother's love. https://t.co/O88T9j69Ga,04/21/18,0.637,0.583,0.417,0.0
@BBC,"😂 He's just playing, isn't he?
#Doodlebugs https://t.co/l36pbPp0xO",04/21/18,0.202,0.231,0.769,0.0
@BBC,RT @bbccomedy: But isn't every day #NationalTeaDay? 😜🇬🇧 https://t.co/hopt64YkzD,04/21/18,0.0,0.0,1.0,0.0
@BBC,"🚘🚆 A man bought a car, taxed and insured it and drove from London to Bristol - all for less than a return train far… https://t.co/sOaqAT62I9",04/21/18,0.0,0.0,1.0,0.0
@BBC,"RT @bbcmusic: HOW GREAT was @ShawnMendes 'In My Blood' performance? 💕 
Watch in full 👉https://t.co/OkASFE8FDB

#SoundsLikeFridayNight https…",04/21/18,0.703,0.244,0.756,0.0
@BBC,"A small cut whilst playing with his dog cost this man his legs and some of his fingers. 

Now he wants to raise awa… https://t.co/jiLrK4TC53",04/21/18,-0.077,0.069,0.849,0.081
@BBC,"RT @BBCNews: 41-gun salute at Hyde Park marks the Queen's 92nd birthday 

#QueensBirthday 

https://t.co/GSG5Cg0SgW https://t.co/AqLC6PTJQA",04/21/18,0.0,0.0,1.0,0.0
@BBC,RT @BBCNewsround: Happy birthday to the Queen! 🎉 See Her Majesty's marvellous outfits 👉https://t.co/4weEC55DoU #queensbirthday https://t.co…,04/21/18,0.611,0.222,0.778,0.0
@BBC,From green tea panna cotta to Earl Grey bread: these recipes are the perfect way to celebrate #NationalTeaDay (with… https://t.co/kv5ZZMQRhE,04/21/18,0.823,0.336,0.664,0.0
@BBC,Find out how Chocolat author @JoanneChocolat's synaesthesia affects her writing - and which colour smells like choc… https://t.co/yqBCNTQ8Qq,04/21/18,0.361,0.135,0.865,0.0
@CBS,Celebrate #DNADay by letting your forensic flag fly and revisit some classic episodes of @CSI_CBS on CBS All Access… https://t.co/YCbHDK2r4b,04/25/18,0.572,0.163,0.837,0.0
@CBS,"Get ready for big reveals, dramatic conclusions, and huge guest stars! Find out more about the 2017-2018 season fin… https://t.co/xcBChnjEvH",04/25/18,0.624,0.221,0.779,0.0
